country,country_code,first_year,latest_year,first_safely_managed_drinking_water_percent,latest_safely_managed_drinking_water_percent,percentage_point_change,observations
Papua New Guinea,PG,2000,2022,31.75,50.24,18.490000000000002,23
Solomon Islands,SB,2000,2021,78.68,67.45,-11.230000000000004,22
Wallis and Futuna,WF,2000,2022,69.15,68.88,-0.27000000000001023,23
Kiribati,KI,2000,2022,60.89,75.69,14.799999999999997,23
French Polynesia,PF,2000,2022,92.03,81.81,-10.219999999999999,23
Marshall Islands,MH,2001,2022,88.85,85.06,-3.789999999999992,22
American Samoa,AS,2000,2021,80.58,89.85,9.269999999999996,22
Micronesia (Federated States of),FM,2000,2020,91.09,90.11,-0.980000000000004,21
Northern Mariana Islands,MP,2000,2022,82.03,90.64,8.61,23
Vanuatu,VU,2000,2022,83.38,91.34,7.960000000000008,23
Fiji,FJ,2000,2022,94.82,95.49,0.6700000000000017,23
New Caledonia,NC,2000,2022,87.04,96.87,9.829999999999998,23
Niue,NU,2000,2022,99.24,97.01,-2.2299999999999898,23
Tonga,TO,2000,2022,98.14,98.81,0.6700000000000017,23
Samoa,WS,2000,2022,87.06,99.04,11.980000000000004,23
Tuvalu,TV,2000,2022,98.81,99.26,0.45000000000000284,23
Palau,PW,2000,2022,99.36,99.57,0.20999999999999375,23
Cook Islands,CK,2000,2022,99.86,99.97,0.10999999999999943,23
Nauru,NR,2000,2020,98.08,100,1.9200000000000017,21
