country,total_internal_displacements,reported_displacement_events,years_with_displacement,first_year,latest_year
Papua New Guinea,326532,81,15,2008,2025
Fiji,215063,39,14,2009,2025
Solomon Islands,26390,19,13,2010,2023
Vanuatu,246752,26,12,2011,2024
Tonga,19568,12,9,2012,2025
Samoa,14522,10,9,2009,2023
French Polynesia,4737,8,7,2010,2025
New Caledonia,6316,12,6,2017,2023
Marshall Islands,2343,8,5,2008,2024
Cook Islands,675,5,4,2010,2022
Northern Mariana Islands,16105,8,3,2018,2023
Guam,4379,6,3,2018,2023
Palau,4110,4,3,2012,2021
American Samoa,5049,3,3,2018,2022
Micronesia (Federated States of),6805,2,2,2015,2023
Tuvalu,5600,2,2,2015,2020
Kiribati,2585,2,2,2008,2015
