country,country_code,year,tb_incidence_per_100k
American Samoa,AS,2000,6.1
American Samoa,AS,2001,6
American Samoa,AS,2002,4
American Samoa,AS,2003,6.1
American Samoa,AS,2004,10
American Samoa,AS,2005,12
American Samoa,AS,2006,8.2
American Samoa,AS,2007,6.1
American Samoa,AS,2008,6.2
American Samoa,AS,2009,8.3
American Samoa,AS,2010,8.3
American Samoa,AS,2011,6.3
American Samoa,AS,2012,7.2
American Samoa,AS,2013,7
American Samoa,AS,2014,6.8
American Samoa,AS,2015,8.7
American Samoa,AS,2016,6.4
American Samoa,AS,2017,11
American Samoa,AS,2018,0
American Samoa,AS,2019,2.3
American Samoa,AS,2020,6.9
American Samoa,AS,2021,5.1
American Samoa,AS,2022,4.8
American Samoa,AS,2023,4.5
Cook Islands,CK,2000,7.3
Cook Islands,CK,2001,15
Cook Islands,CK,2002,7.7
Cook Islands,CK,2003,0
Cook Islands,CK,2004,7.6
Cook Islands,CK,2005,7.6
Cook Islands,CK,2006,7.6
Cook Islands,CK,2007,7.6
Cook Islands,CK,2008,14
Cook Islands,CK,2009,14
Cook Islands,CK,2010,0
Cook Islands,CK,2011,6.6
Cook Islands,CK,2012,6.5
Cook Islands,CK,2013,13
Cook Islands,CK,2014,13
Cook Islands,CK,2015,0
Cook Islands,CK,2016,13
Cook Islands,CK,2017,0
Cook Islands,CK,2018,0
Cook Islands,CK,2019,7.1
Cook Islands,CK,2020,7.4
Cook Islands,CK,2021,0
Cook Islands,CK,2022,0
Cook Islands,CK,2023,32
Fiji,FJ,2000,22
Fiji,FJ,2001,28
Fiji,FJ,2002,23
Fiji,FJ,2003,28
Fiji,FJ,2004,20
Fiji,FJ,2005,20
Fiji,FJ,2006,17
Fiji,FJ,2007,14
Fiji,FJ,2008,16
Fiji,FJ,2009,21
Fiji,FJ,2010,27
Fiji,FJ,2011,31
Fiji,FJ,2012,30
Fiji,FJ,2013,37
Fiji,FJ,2014,55
Fiji,FJ,2015,52
Fiji,FJ,2016,45
Fiji,FJ,2017,51
Fiji,FJ,2018,54
Fiji,FJ,2019,66
Fiji,FJ,2020,66
Fiji,FJ,2021,66
Fiji,FJ,2022,66
Fiji,FJ,2023,66
French Polynesia,PF,2000,30
French Polynesia,PF,2001,29
French Polynesia,PF,2002,31
French Polynesia,PF,2003,23
French Polynesia,PF,2004,28
French Polynesia,PF,2005,28
French Polynesia,PF,2006,30
French Polynesia,PF,2007,28
French Polynesia,PF,2008,21
French Polynesia,PF,2009,23
French Polynesia,PF,2010,17
French Polynesia,PF,2011,27
French Polynesia,PF,2012,21
French Polynesia,PF,2013,22
French Polynesia,PF,2014,23
French Polynesia,PF,2015,19
French Polynesia,PF,2016,23
French Polynesia,PF,2017,21
French Polynesia,PF,2018,22
French Polynesia,PF,2019,20
French Polynesia,PF,2020,26
French Polynesia,PF,2021,14
French Polynesia,PF,2022,23
French Polynesia,PF,2023,14
Guam,GU,2000,39
Guam,GU,2001,45
Guam,GU,2002,36
Guam,GU,2003,16
Guam,GU,2004,35
Guam,GU,2005,44
Guam,GU,2006,31
Guam,GU,2007,37
Guam,GU,2008,62
Guam,GU,2009,71
Guam,GU,2010,70
Guam,GU,2011,57
Guam,GU,2012,47
Guam,GU,2013,33
Guam,GU,2014,39
Guam,GU,2015,53
Guam,GU,2016,53
Guam,GU,2017,59
Guam,GU,2018,50
Guam,GU,2019,56
Guam,GU,2020,40
Guam,GU,2021,41
Guam,GU,2022,41
Guam,GU,2023,31
Kiribati,KI,2000,355
Kiribati,KI,2001,262
Kiribati,KI,2002,266
Kiribati,KI,2003,377
Kiribati,KI,2004,403
Kiribati,KI,2005,423
Kiribati,KI,2006,472
Kiribati,KI,2007,409
Kiribati,KI,2008,402
Kiribati,KI,2009,326
Kiribati,KI,2010,329
Kiribati,KI,2011,387
Kiribati,KI,2012,385
Kiribati,KI,2013,447
Kiribati,KI,2014,449
Kiribati,KI,2015,531
Kiribati,KI,2016,547
Kiribati,KI,2017,400
Kiribati,KI,2018,331
Kiribati,KI,2019,414
Kiribati,KI,2020,382
Kiribati,KI,2021,321
Kiribati,KI,2022,345
Kiribati,KI,2023,533
Marshall Islands,MH,2000,84
Marshall Islands,MH,2001,137
Marshall Islands,MH,2002,124
Marshall Islands,MH,2003,145
Marshall Islands,MH,2004,282
Marshall Islands,MH,2005,267
Marshall Islands,MH,2006,334
Marshall Islands,MH,2007,380
